Team,Season,Wins,Losses,WinPct,PointsPerGame,OpponentPointsPerGame,PointDifferential,OffensiveRating,DefensiveRating,NetRating,Pace,ThreePointPct,FreeThrowPct,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,MadePlayoffs
Boston Celtics,2023-24,64,18,0.780,120.6,109.2,11.4,122.2,110.6,11.6,99.8,0.387,0.810,45.2,27.1,7.4,5.9,12.1,1
Oklahoma City Thunder,2023-24,57,25,0.695,118.3,107.8,10.5,119.4,109.0,10.4,100.2,0.375,0.788,43.8,26.5,9.8,5.4,11.8,1
Denver Nuggets,2023-24,57,25,0.695,115.8,109.4,6.4,117.9,111.5,6.4,98.1,0.368,0.775,44.6,29.2,7.2,4.8,12.4,1
Minnesota Timberwolves,2023-24,56,26,0.683,112.1,106.3,5.8,113.8,107.9,5.9,97.6,0.362,0.798,43.4,25.1,8.1,6.2,11.2,1
Cleveland Cavaliers,2023-24,48,34,0.585,112.5,108.1,4.4,114.3,109.8,4.5,98.4,0.359,0.772,42.8,27.4,6.8,4.5,13.1,1
Milwaukee Bucks,2023-24,49,33,0.598,118.1,113.6,4.5,118.5,114.0,4.5,100.8,0.374,0.803,47.1,26.8,6.2,5.1,12.8,1
Phoenix Suns,2023-24,49,33,0.598,114.3,112.1,2.2,114.8,112.6,2.2,100.1,0.358,0.812,42.1,28.1,7.5,4.2,13.4,1
New York Knicks,2023-24,50,32,0.610,112.8,108.4,4.4,113.6,109.2,4.4,99.2,0.365,0.778,46.8,24.8,6.5,4.8,11.9,1
Dallas Mavericks,2023-24,50,32,0.610,117.9,112.8,5.1,118.2,113.1,5.1,100.4,0.378,0.795,41.2,26.9,6.9,4.1,11.5,1
LA Clippers,2023-24,51,31,0.622,113.1,108.2,4.9,114.0,109.1,4.9,99.1,0.371,0.801,43.5,25.6,7.1,4.6,12.6,1
Orlando Magic,2023-24,47,35,0.573,109.8,105.3,4.5,110.8,106.3,4.5,98.8,0.345,0.761,44.2,24.5,7.8,5.8,13.2,1
Indiana Pacers,2023-24,47,35,0.573,123.3,118.6,4.7,121.8,117.1,4.7,102.6,0.382,0.802,42.4,30.4,7.2,5.2,12.1,1
Miami Heat,2023-24,46,36,0.561,110.8,109.1,1.7,111.2,109.5,1.7,99.8,0.358,0.788,41.8,25.2,7.4,3.9,13.8,1
Philadelphia 76ers,2023-24,47,35,0.573,113.4,110.8,2.6,114.2,111.6,2.6,99.4,0.364,0.791,42.1,25.8,7.9,4.4,12.4,1
New Orleans Pelicans,2023-24,49,33,0.598,113.5,108.9,4.6,114.1,109.5,4.6,99.6,0.356,0.768,46.8,26.1,8.2,5.5,13.1,1
Sacramento Kings,2023-24,46,36,0.561,117.8,115.2,2.6,117.4,114.8,2.6,101.2,0.361,0.775,42.5,28.6,7.1,4.8,12.8,1
Los Angeles Lakers,2023-24,47,35,0.573,115.8,112.4,3.4,115.4,112.0,3.4,100.8,0.362,0.782,45.1,26.4,6.8,5.1,13.5,1
Golden State Warriors,2023-24,46,36,0.561,117.2,114.8,2.4,116.2,113.8,2.4,101.8,0.395,0.788,44.2,29.1,8.4,4.5,14.2,1
Chicago Bulls,2023-24,39,43,0.476,111.2,112.8,-1.6,111.8,113.4,-1.6,99.4,0.352,0.795,43.1,25.2,7.5,4.2,12.1,0
Atlanta Hawks,2023-24,36,46,0.439,118.2,120.5,-2.3,117.2,119.5,-2.3,101.8,0.368,0.801,43.8,26.4,7.2,4.8,13.8,0
Toronto Raptors,2023-24,25,57,0.305,108.4,115.6,-7.2,109.5,116.7,-7.2,98.4,0.341,0.762,41.5,24.1,8.1,4.1,14.2,0
Brooklyn Nets,2023-24,32,50,0.390,110.4,113.5,-3.1,111.2,114.3,-3.1,98.8,0.362,0.778,42.8,25.8,6.9,4.5,13.5,0
