LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,PreAS,PostAS
00,22025,1610612760,Oklahoma City,Thunder,West,32-9,1,,Northwest,8-3,1,42,14,0.75,1.0,42-14,22-6,20-7,5-5,5-5,7-3,3-0,2-6,31-6,14,W 14,8,W 8,16,2,-2,L 2,2,W 2,-1,L 1,0.0,0.0,,,,,,33-7,9-7,0-0,38-3,4-10,0-1,42-12,30-14,20-11,35-6,20-3,38-8,120.0,108.0,12.0,10-5,1-1,3-2,6-2,32-9,8-3,13-1,11-5,9-6,4-3,,,,,,,,6-0,14-1,9-4,42-14,
00,22025,1610612765,Detroit,Pistons,East,26-7,1,,Central,8-3,1,40,13,0.755,,40-13,21-6,18-7,8-2,7-3,7-3,1-1,8-4,18-3,6,W 6,7,W 7,13,2,1,W 1,3,W 3,3,W 3,0.0,0.0,,,,,,35-4,5-8,0-1,34-2,6-11,0-0,39-9,32-12,19-7,34-3,27-7,29-6,117.0,109.0,8.0,26-7,10-1,8-3,8-3,14-6,5-1,5-3,4-2,10-4,5-1,,,,,,,,3-2,13-2,9-4,40-13,
00,22025,1610612738,Boston,Celtics,East,24-13,2,,Atlantic,7-5,1,35,19,0.648,,35-19,18-9,17-10,7-3,7-3,7-3,1-0,5-6,21-6,4,W 4,3,W 3,5,3,1,W 1,2,W 2,1,W 1,5.5,0.0,,,,,,26-8,7-10,2-1,29-4,4-15,2-0,34-15,25-18,15-12,30-5,25-8,18-11,115.0,108.0,7.0,24-13,7-5,9-6,8-2,11-6,2-4,5-0,4-2,10-6,5-1,,,,,,,,3-3,8-6,9-3,35-19,
00,22025,1610612759,San Antonio,Spurs,West,24-13,2,,Southwest,10-3,1,38,16,0.704,3.0,38-16,19-6,18-10,8-2,8-2,6-4,1-0,6-4,24-6,6,W 6,6,W 6,8,2,3,W 3,3,W 3,6,W 6,3.0,0.0,,,,,,28-8,10-8,0-0,29-6,8-10,1-0,38-14,32-16,21-10,29-4,30-7,16-8,118.0,112.0,6.0,14-3,4-0,3-2,7-1,24-13,9-5,5-5,10-3,8-7,6-0,,,,,,,,5-0,8-6,11-3,38-16,
00,22025,1610612752,New York,Knicks,East,24-13,3,,Atlantic,10-3,2,35,20,0.636,3.0,35-20,21-7,13-13,8-2,6-4,6-4,1-1,5-3,22-12,7,W 7,-4,L 4,8,4,-1,L 1,2,W 2,1,W 1,6.0,0.5,,,,,,26-6,9-14,0-0,30-1,3-19,2-0,35-15,26-20,16-15,25-2,24-11,26-3,118.0,112.0,6.0,24-13,10-3,5-5,9-5,11-7,5-1,3-4,3-2,7-8,5-2,,,,,,,,2-3,11-3,10-4,35-20,
00,22025,1610612743,Denver,Nuggets,West,20-9,3,,Northwest,4-2,2,35,20,0.636,,35-20,15-11,20-9,5-5,5-5,7-3,3-2,6-8,18-7,6,W 6,11,W 11,7,3,1,W 1,1,W 1,1,W 1,6.5,6.5,,,,,,24-8,9-11,2-1,29-9,6-9,0-2,35-18,33-20,14-14,30-7,17-9,18-5,120.0,116.0,4.0,15-11,4-2,5-5,6-4,20-9,4-2,8-3,8-4,10-6,2-4,,,,,,,,3-2,11-3,9-5,35-20,
00,22025,1610612739,Cleveland,Cavaliers,East,20-13,4,,Central,7-3,2,34,21,0.618,,34-21,18-11,16-10,9-1,7-3,8-2,0-2,2-3,20-12,4,W 4,4,W 4,5,3,4,W 4,4,W 4,5,W 5,7.0,7.0,,,,,,23-3,11-18,0-0,24-1,10-19,0-1,33-19,29-20,18-13,29-3,22-5,21-12,120.0,116.0,4.0,20-13,4-7,7-3,9-3,14-8,4-4,6-2,4-2,10-5,5-0,,,,,,,,3-3,9-6,7-7,34-21,
00,22025,1610612745,Houston,Rockets,West,19-16,4,,Southwest,6-5,2,33,20,0.623,,33-20,18-7,15-13,6-4,6-4,5-5,1-5,2-6,16-8,7,W 7,5,W 5,5,3,-1,L 1,4,W 4,-1,L 1,7.5,4.5,,,,,,20-7,12-12,1-1,24-6,7-14,2-0,33-15,24-20,16-8,27-4,29-12,9-5,115.0,110.0,5.0,14-4,4-2,7-1,3-1,19-16,5-7,8-4,6-5,10-7,3-3,,,,,,,,2-2,11-2,7-6,33-20,
00,22025,1610612747,Los Angeles,Lakers,West,22-14,5,,Pacific,5-6,1,33,21,0.611,2.0,33-21,15-10,18-11,6-4,6-4,5-5,0-0,5-0,16-18,6,W 6,4,W 4,7,3,1,W 1,1,W 1,1,W 1,8.0,0.0,,,,,,20-1,11-20,2-0,24-0,8-21,1-0,33-16,30-21,16-13,28-3,20-4,15-8,116.0,116.0,0.0,11-7,5-2,2-3,4-2,22-14,7-4,5-6,10-4,9-7,4-3,,,,,,,,4-2,11-2,5-7,33-21,
00,22025,1610612761,Toronto,Raptors,East,24-15,5,,Atlantic,4-9,3,32,23,0.582,2.0,32-23,16-13,16-10,6-4,5-5,6-4,2-2,7-3,22-15,8,W 8,4,W 4,9,4,-1,L 1,-1,L 1,-1,L 1,9.0,3.5,,,,,,24-8,8-15,0-0,25-4,7-18,0-1,30-16,25-22,16-16,26-4,23-6,19-12,114.0,112.0,2.0,24-15,4-9,10-2,10-4,8-8,4-2,3-3,1-3,9-6,3-2,,,,,,,,2-4,12-3,6-8,32-23,
